Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
M7A 24xlarge,m7a.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,5.56420
M6A 32xlarge,m6a.32xlarge,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,5.52960
R6A 24xlarge,r6a.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,5.44320
C6IN 24xlarge,c6in.24xlarge,192.0 GiB,96 vCPUs,EBS only,150 Gigabit,5.44320
C6I Metal,c6i.metal,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,5.44000
C6I 32xlarge,c6i.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,5.44000
R5A 24xlarge,r5a.24xlarge,768.0 GiB,96 vCPUs,EBS only,20 Gigabit,5.42400
C7A 24xlarge,c7a.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.92670
C6A 32xlarge,c6a.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,4.89600
R7A 16xlarge,r7a.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,4.86880
M7I Metal-24xl,m7i.metal-24xl,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.83840
M7I 24xlarge,m7i.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.83840
R5N 16xlarge,r5n.16xlarge,512.0 GiB,64 vCPUs,EBS only,75 Gigabit,4.76800
R5B 16xlarge,r5b.16xlarge,512.0 GiB,64 vCPUs,EBS only,20 Gigabit,4.76800
M6I 24xlarge,m6i.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.60800
M5 General Purpose 24xlarge,m5.24xlarge,384.0 GiB,96 vCPUs,EBS only,25 Gigabit,4.60800
M5 General Purpose Metal,m5.metal,384.0 GiB,96 vCPUs,EBS only,25 Gigabit,4.60800
R7IZ 12xlarge,r7iz.12xlarge,384.0 GiB,48 vCPUs,EBS only,25 Gigabit,4.46400
M6IN 16xlarge,m6in.16xlarge,256.0 GiB,64 vCPUs,EBS only,100 Gigabit,4.45540
M8G 24xlarge,m8g.24xlarge,384.0 GiB,96 vCPUs,EBS only,40 Gigabit,4.30850
M8G Metal-24xl,m8g.metal-24xl,384.0 GiB,96 vCPUs,EBS only,40 Gigabit,4.30850
C7I Metal-24xl,c7i.metal-24xl,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.28400
C7I 24xlarge,c7i.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.28400
R4 High-Memory 16xlarge,r4.16xlarge,488.0 GiB,64 vCPUs,EBS only,25 Gigabit,4.25600
R7I 16xlarge,r7i.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,4.23360
R6IN 12xlarge,r6in.12xlarge,384.0 GiB,48 vCPUs,EBS only,75 Gigabit,4.18390
M6A 24xlarge,m6a.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.14720
M5A 24xlarge,m5a.24xlarge,384.0 GiB,96 vCPUs,EBS only,20 Gigabit,4.12800
C5 High-CPU Metal,c5.metal,192.0 GiB,96 vCPUs,EBS only,25 Gigabit,4.08000
C6I 24xlarge,c6i.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,4.08000
C5 High-CPU 24xlarge,c5.24xlarge,192.0 GiB,96 vCPUs,EBS only,25 Gigabit,4.08000
R5 16xlarge,r5.16xlarge,512.0 GiB,64 vCPUs,EBS only,20 Gigabit,4.03200
R6I 16xlarge,r6i.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,4.03200
C7GN Metal,c7gn.metal,128.0 GiB,64 vCPUs,EBS only,200 Gigabit,3.99360
C7GN 16xlarge,c7gn.16xlarge,128.0 GiB,64 vCPUs,EBS only,200 Gigabit,3.99360
M5ZN Metal,m5zn.metal,192.0 GiB,48 vCPUs,EBS only,100 Gigabit,3.96410
M5ZN 12xlarge,m5zn.12xlarge,192.0 GiB,48 vCPUs,EBS only,100 Gigabit,3.96410
C5N 18xlarge,c5n.18xlarge,192.0 GiB,72 vCPUs,EBS only,100 Gigabit,3.88800
C5N Metal,c5n.metal,192.0 GiB,72 vCPUs,EBS only,100 Gigabit,3.88800
C8G 24xlarge,c8g.24xlarge,192.0 GiB,96 vCPUs,EBS only,40 Gigabit,3.81500
C8G Metal-24xl,c8g.metal-24xl,192.0 GiB,96 vCPUs,EBS only,40 Gigabit,3.81500
M5N 16xlarge,m5n.16xlarge,256.0 GiB,64 vCPUs,EBS only,75 Gigabit,3.80800
R8G 16xlarge,r8g.16xlarge,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,3.77020
M7A 16xlarge,m7a.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.70940
C5A 24xlarge,c5a.24xlarge,192.0 GiB,96 vCPUs,EBS only,20 Gigabit,3.69600
C6A 24xlarge,c6a.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,3.67200
R7A 12xlarge,r7a.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,3.65160
R6A 16xlarge,r6a.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.62880
C6IN 16xlarge,c6in.16xlarge,128.0 GiB,64 vCPUs,EBS only,100 Gigabit,3.62880
R5A 16xlarge,r5a.16xlarge,512.0 GiB,64 vCPUs,EBS only,12 Gigabit,3.61600
R5B 12xlarge,r5b.12xlarge,384.0 GiB,48 vCPUs,EBS only,12 Gigabit,3.57600
R5N 12xlarge,r5n.12xlarge,384.0 GiB,48 vCPUs,EBS only,50 Gigabit,3.57600
R7G Metal,r7g.metal,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,3.42720
R7G 16xlarge,r7g.16xlarge,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,3.42720
M6IN 12xlarge,m6in.12xlarge,192.0 GiB,48 vCPUs,EBS only,75 Gigabit,3.34150
X1E Quadruple Extra Large,x1e.4xlarge,488.0 GiB,16 vCPUs,480 GB                 SSD,Up to 10 Gigabit,3.33600
C7A 16xlarge,c7a.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.28450
M7I 16xlarge,m7i.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.22560
R6G 16xlarge,r6g.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.22560
R6G Metal,r6g.metal,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.22560
M4 General Purpose 16xlarge,m4.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.20000
R7I 12xlarge,r7i.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,3.17520
M6I 16xlarge,m6i.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,3.07200
M5 General Purpose 16xlarge,m5.16xlarge,256.0 GiB,64 vCPUs,EBS only,20 Gigabit,3.07200
M7I-FLEX 16xlarge,m7i-flex.16xlarge,256.0 GiB,64 vCPUs,EBS only,Up to 25 Gigabit,3.06430
C5 High-CPU 18xlarge,c5.18xlarge,144.0 GiB,72 vCPUs,EBS only,25 Gigabit,3.06000
R6I 12xlarge,r6i.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,3.02400
R5 12xlarge,r5.12xlarge,384.0 GiB,48 vCPUs,EBS only,12 Gigabit,3.02400
C7GN 12xlarge,c7gn.12xlarge,96.0 GiB,48 vCPUs,EBS only,150 Gigabit,2.99520
R7IZ Eight Extra Large,r7iz.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,2.97600
M8G 16xlarge,m8g.16xlarge,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.87230
M5N 12xlarge,m5n.12xlarge,192.0 GiB,48 vCPUs,EBS only,50 Gigabit,2.85600
C7I 16xlarge,c7i.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.85600
R8G 12xlarge,r8g.12xlarge,384.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,2.82770
R6IN Eight Extra Large,r6in.8xlarge,256.0 GiB,32 vCPUs,EBS only,50 Gigabit,2.78930
M7A 12xlarge,m7a.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.78210
M6A 16xlarge,m6a.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.76480
C6GN 16xlarge,c6gn.16xlarge,128.0 GiB,64 vCPUs,EBS only,100 Gigabit,2.76480
M5A 16xlarge,m5a.16xlarge,256.0 GiB,64 vCPUs,EBS only,12 Gigabit,2.75200
R6A 12xlarge,r6a.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.72160
C6IN 12xlarge,c6in.12xlarge,96.0 GiB,48 vCPUs,EBS only,75 Gigabit,2.72160
C6I 16xlarge,c6i.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.72000
C7I-FLEX 16xlarge,c7i-flex.16xlarge,128.0 GiB,64 vCPUs,EBS only,Up to 25 Gigabit,2.71320
R5A 12xlarge,r5a.12xlarge,384.0 GiB,48 vCPUs,EBS only,10 Gigabit,2.71200
R3 High-Memory Eight Extra Large,r3.8xlarge,244.0 GiB,32 vCPUs,640 GB                 (2 * 320 GB SSD),10 Gigabit,2.65600
